"country_or_area","year","area","month","record_type","reliability","source_year","value","value_footnotes"
"Germany",2019,"Total","June","Data tabulated by year of occurrence","Provisional figure",2019,74262,""
"Germany",2019,"Total","July","Data tabulated by year of occurrence","Provisional figure",2019,76844,""
"Germany",2019,"Total","August","Data tabulated by year of occurrence","Provisional figure",2019,73130,""
"Germany",2019,"Total","September","Data tabulated by year of occurrence","Provisional figure",2019,71507,""
"Gibraltar",2008,"Total","Total","Data tabulated by year of registration","Final figure, complete",2009,227,"20"
"Gibraltar",2008,"Total","January","Data tabulated by year of registration","Final figure, complete",2009,22,"20"
"Gibraltar",2008,"Total","February","Data tabulated by year of registration","Final figure, complete",2009,20,"20"
"Gibraltar",2008,"Total","March","Data tabulated by year of registration","Final figure, complete",2009,28,"20"
"Gibraltar",2008,"Total","April","Data tabulated by year of registration","Final figure, complete",2009,20,"20"
"Gibraltar",2008,"Total","May","Data tabulated by year of registration","Final figure, complete",2009,17,"20"
"Gibraltar",2008,"Total","June","Data tabulated by year of registration","Final figure, complete",2009,12,"20"
"Gibraltar",2008,"Total","July","Data tabulated by year of registration","Final figure, complete",2009,15,"20"
"Gibraltar",2008,"Total","August","Data tabulated by year of registration","Final figure, complete",2009,17,"20"
"Gibraltar",2008,"Total","September","Data tabulated by year of registration","Final figure, complete",2009,8,"20"
"Gibraltar",2008,"Total","October","Data tabulated by year of registration","Final figure, complete",2009,7,"20"
"Gibraltar",2008,"Total","November","Data tabulated by year of registration","Final figure, complete",2009,25,"20"
"Gibraltar",2008,"Total","December","Data tabulated by year of registration","Final figure, complete",2009,36,"20"
"Greece",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,124501,""
"Greece",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,14834,""
"Greece",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,10802,""
"Greece",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,10698,""
"Greece",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,10014,""
"Greece",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,9376,""
"Greece",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,9515,""
"Greece",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,10444,""
"Greece",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,10238,""
"Greece",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,8597,""
"Greece",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,9600,""
"Greece",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,9723,""
"Greece",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,10660,""
"Greenland",2018,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,487,""
"Greenland",2018,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,48,""
"Greenland",2018,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,25,""
"Greenland",2018,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,49,""
"Greenland",2018,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,62,""
"Greenland",2018,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,52,""
"Greenland",2018,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,45,""
"Greenland",2018,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,31,""
"Greenland",2018,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,49,""
"Greenland",2018,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,34,""
"Greenland",2018,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,28,""
"Greenland",2018,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,30,""
"Greenland",2018,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,34,""
"Greenland",2018,"Total","Unknown","Data tabulated by year of occurrence","Final figure, complete",2019,0,""
"Guadeloupe",2003,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2004,2636,"19"
"Guadeloupe",2003,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2004,240,"19"
"Guadeloupe",2003,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2004,215,"19"
"Guadeloupe",2003,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2004,196,"19"
"Guadeloupe",2003,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2004,229,"19"
"Guadeloupe",2003,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2004,221,"19"
"Guadeloupe",2003,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2004,201,"19"
"Guadeloupe",2003,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2004,240,"19"
"Guadeloupe",2003,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2004,230,"19"
"Guadeloupe",2003,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2004,228,"19"
"Guadeloupe",2003,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2004,227,"19"
"Guadeloupe",2003,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2004,200,"19"
"Guadeloupe",2003,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2004,209,"19"
"Guam",2018,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,1056,"21"
"Guam",2018,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,90,"21"
"Guam",2018,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,85,"21"
"Guam",2018,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,76,"21"
"Guam",2018,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,89,"21"
"Guam",2018,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,94,"21"
"Guam",2018,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,94,"21"
"Guam",2018,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,83,"21"
"Guam",2018,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,85,"21"
"Guam",2018,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,89,"21"
"Guam",2018,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,84,"21"
"Guam",2018,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,88,"21"
"Guam",2018,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,98,"21"
"Guam",2018,"Total","Unknown","Data tabulated by year of occurrence","Final figure, complete",2019,1,"21"
"Guatemala",2016,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2018,82565,""
"Guatemala",2016,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2018,7119,""
"Guatemala",2016,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2018,6808,""
"Guatemala",2016,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2018,7397,""
"Guatemala",2016,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2018,6984,""
"Guatemala",2016,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2018,7145,""
"Guatemala",2016,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2018,6659,""
"Guatemala",2016,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2018,7046,""
"Guatemala",2016,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2018,6829,""
"Guatemala",2016,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2018,6703,""
"Guatemala",2016,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2018,6882,""
"Guatemala",2016,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2018,6388,""
"Guatemala",2016,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2018,6605,""
"Guernsey",2012,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2013,547,""
"Hungary",2019,"Total","January","Data tabulated by year of occurrence","Provisional figure",2019,13790,""
"Hungary",2019,"Total","February","Data tabulated by year of occurrence","Provisional figure",2019,12219,""
"Hungary",2019,"Total","March","Data tabulated by year of occurrence","Provisional figure",2019,11373,""
"Hungary",2019,"Total","April","Data tabulated by year of occurrence","Provisional figure",2019,10167,""
"Hungary",2019,"Total","May","Data tabulated by year of occurrence","Provisional figure",2019,9783,""
"Hungary",2019,"Total","June","Data tabulated by year of occurrence","Provisional figure",2019,9776,""
"Hungary",2019,"Total","July","Data tabulated by year of occurrence","Provisional figure",2019,9854,""
"Hungary",2019,"Total","August","Data tabulated by year of occurrence","Provisional figure",2019,9710,""
"Hungary",2019,"Total","September","Data tabulated by year of occurrence","Provisional figure",2019,9619,""
"Hungary",2019,"Total","October","Data tabulated by year of occurrence","Provisional figure",2019,10435,""
"Iceland",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,2238,""
"Iceland",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,207,""
"Iceland",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,206,""
"Iceland",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,185,""
"Iceland",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,183,""
"Iceland",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,190,""
"Iceland",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,183,""
"Iceland",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,187,""
"Iceland",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,168,""
"Iceland",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,178,""
"Iceland",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,179,""
"Iceland",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,191,""
"Iceland",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,181,""
"Iran (Islamic Republic of)",2019,"Total","January","Data tabulated by year of registration","Provisional figure",2019,33749,""
"Iran (Islamic Republic of)",2019,"Total","February","Data tabulated by year of registration","Provisional figure",2019,31235,""
"Iran (Islamic Republic of)",2019,"Total","March","Data tabulated by year of registration","Provisional figure",2019,30051,""
"Iran (Islamic Republic of)",2019,"Total","April","Data tabulated by year of registration","Provisional figure",2019,31920,""
"Iran (Islamic Republic of)",2019,"Total","September","Data tabulated by year of registration","Provisional figure",2019,30447,""
"Iran (Islamic Republic of)",2019,"Total","October","Data tabulated by year of registration","Provisional figure",2019,34463,""
"Iran (Islamic Republic of)",2019,"Total","November","Data tabulated by year of registration","Provisional figure",2020,37415,""
"Ireland",2019,"Total","January - March","Data tabulated by year of registration","Provisional figure",2019,8618,""
"Ireland",2019,"Total","April - June","Data tabulated by year of registration","Provisional figure",2019,7519,""
"Isle of Man",2017,"Total","Total","Data tabulated by year of registration","Final figure, complete",2018,837,""
"Isle of Man",2017,"Total","January","Data tabulated by year of registration","Final figure, complete",2018,77,""
"Isle of Man",2017,"Total","February","Data tabulated by year of registration","Final figure, complete",2018,75,""
"Isle of Man",2017,"Total","March","Data tabulated by year of registration","Final figure, complete",2018,79,""
"Isle of Man",2017,"Total","April","Data tabulated by year of registration","Final figure, complete",2018,63,""
"Isle of Man",2017,"Total","May","Data tabulated by year of registration","Final figure, complete",2018,56,""
"Isle of Man",2017,"Total","June","Data tabulated by year of registration","Final figure, complete",2018,61,""
"Isle of Man",2017,"Total","July","Data tabulated by year of registration","Final figure, complete",2018,67,""
"Isle of Man",2017,"Total","August","Data tabulated by year of registration","Final figure, complete",2018,81,""
"Isle of Man",2017,"Total","September","Data tabulated by year of registration","Final figure, complete",2018,58,""
"Isle of Man",2017,"Total","October","Data tabulated by year of registration","Final figure, complete",2018,68,""
"Isle of Man",2017,"Total","November","Data tabulated by year of registration","Final figure, complete",2018,68,""
"Isle of Man",2017,"Total","December","Data tabulated by year of registration","Final figure, complete",2018,84,""
"Israel",2019,"Total","January","Data tabulated by year of occurrence","Provisional figure",2019,4802,"26"
"Israel",2019,"Total","February","Data tabulated by year of occurrence","Provisional figure",2019,4056,"26"
"Israel",2019,"Total","March","Data tabulated by year of occurrence","Provisional figure",2019,4313,"26"
"Israel",2019,"Total","April","Data tabulated by year of occurrence","Provisional figure",2019,3718,"26"
"Israel",2019,"Total","May","Data tabulated by year of occurrence","Provisional figure",2019,3646,"26"
"Israel",2019,"Total","June","Data tabulated by year of occurrence","Provisional figure",2019,3335,"26"
"Israel",2019,"Total","July","Data tabulated by year of occurrence","Provisional figure",2019,3428,"26"
"Israel",2019,"Total","August","Data tabulated by year of occurrence","Provisional figure",2019,3482,"26"
"Israel",2019,"Total","September","Data tabulated by year of occurrence","Provisional figure",2019,3297,"26"
"Israel",2019,"Total","October","Data tabulated by year of occurrence","Provisional figure",2019,3459,"26"
"Italy",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,649061,""
"Italy",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,76088,""
"Italy",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,58619,""
"Italy",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,58485,""
"Italy",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,47774,""
"Italy",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,54544,""
"Italy",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,48416,""
"Italy",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,47638,""
"Italy",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,53642,""
"Italy",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,46384,""
"Italy",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,51863,""
"Italy",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,51990,""
"Italy",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,53618,""
"Japan",2019,"Total","January","Data tabulated by year of occurrence","Provisional figure",2019,137787,"28"
"Japan",2019,"Total","February","Data tabulated by year of occurrence","Provisional figure",2019,117286,"28"
"Japan",2019,"Total","March","Data tabulated by year of occurrence","Provisional figure",2019,118182,"28"
"Japan",2019,"Total","April","Data tabulated by year of occurrence","Provisional figure",2019,111894,"28"
"Japan",2019,"Total","May","Data tabulated by year of occurrence","Provisional figure",2019,111119,"28"
"Japan",2019,"Total","June","Data tabulated by year of occurrence","Provisional figure",2019,101386,"28"
"Japan",2019,"Total","July","Data tabulated by year of occurrence","Provisional figure",2019,105655,"28"
"Japan",2019,"Total","August","Data tabulated by year of occurrence","Provisional figure",2020,110475,"28"
"Jersey",2015,"Total","Total","Data tabulated by year of registration","Final figure, complete",2016,756,""
"Jersey",2015,"Total","January","Data tabulated by year of registration","Final figure, complete",2016,95,""
"Jersey",2015,"Total","February","Data tabulated by year of registration","Final figure, complete",2016,83,""
"Jersey",2015,"Total","March","Data tabulated by year of registration","Final figure, complete",2016,65,""
"Jersey",2015,"Total","April","Data tabulated by year of registration","Final figure, complete",2016,64,""
"Jersey",2015,"Total","May","Data tabulated by year of registration","Final figure, complete",2016,65,""
"Jersey",2015,"Total","June","Data tabulated by year of registration","Final figure, complete",2016,64,""
"Jersey",2015,"Total","July","Data tabulated by year of registration","Final figure, complete",2016,48,""
"Jersey",2015,"Total","August","Data tabulated by year of registration","Final figure, complete",2016,50,""
"Jersey",2015,"Total","September","Data tabulated by year of registration","Final figure, complete",2016,48,""
"Jersey",2015,"Total","October","Data tabulated by year of registration","Final figure, complete",2016,66,""
"Jersey",2015,"Total","November","Data tabulated by year of registration","Final figure, complete",2016,45,""
"Jersey",2015,"Total","December","Data tabulated by year of registration","Final figure, complete",2016,63,""
"Kazakhstan",2008,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2009,152706,"1"
"Kazakhstan",2008,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2009,14762,"1"
"Kazakhstan",2008,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2009,13151,"1"
"Kazakhstan",2008,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2009,13487,"1"
"Kazakhstan",2008,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2009,12711,"1"
"Kazakhstan",2008,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2009,12941,"1"
"Kazakhstan",2008,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2009,12617,"1"
"Kazakhstan",2008,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2009,12721,"1"
"Kazakhstan",2008,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2009,12108,"1"
"Kazakhstan",2008,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2009,11676,"1"
"Kazakhstan",2008,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2009,12569,"1"
"Kazakhstan",2008,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2009,11724,"1"
"Kazakhstan",2008,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2009,12171,"1"
"Kazakhstan",2008,"Total","Unknown","Data tabulated by year of occurrence","Final figure, complete",2009,68,"1"
"Kuwait",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,6679,""
"Kuwait",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,686,""
"Kuwait",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,530,""
"Kuwait",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,543,""
"Kuwait",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,514,""
"Kuwait",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,556,""
"Kuwait",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,519,""
"Kuwait",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,544,""
"Kuwait",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,496,""
"Kuwait",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,529,""
"Kuwait",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,511,""
"Kuwait",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,614,""
"Kuwait",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,637,""
"Kyrgyzstan",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2018,33166,""
"Kyrgyzstan",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2018,3147,""
"Kyrgyzstan",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2018,2572,""
"Kyrgyzstan",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2018,2751,""
"Kyrgyzstan",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2018,2634,""
"Kyrgyzstan",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2018,2882,""
"Kyrgyzstan",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2018,2564,""
"Kyrgyzstan",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2018,2858,""
"Kyrgyzstan",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2018,2573,""
"Kyrgyzstan",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2018,2547,""
"Kyrgyzstan",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2018,2777,""
"Kyrgyzstan",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2018,2816,""
"Kyrgyzstan",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2018,3045,""
"Kyrgyzstan",2017,"Total","Unknown","Data tabulated by year of occurrence","Final figure, complete",2018,0,""
"Latvia",2019,"Total","January","Data tabulated by year of occurrence","Provisional figure",2019,3040,""
"Latvia",2019,"Total","February","Data tabulated by year of occurrence","Provisional figure",2019,2411,""
"Latvia",2019,"Total","March","Data tabulated by year of occurrence","Provisional figure",2019,2288,""
"Latvia",2019,"Total","April","Data tabulated by year of occurrence","Provisional figure",2019,2447,""
"Latvia",2019,"Total","May","Data tabulated by year of occurrence","Provisional figure",2019,2242,""
"Latvia",2019,"Total","June","Data tabulated by year of occurrence","Provisional figure",2019,1930,""
"Latvia",2019,"Total","July","Data tabulated by year of occurrence","Provisional figure",2019,2332,""
"Latvia",2019,"Total","September","Data tabulated by year of occurrence","Provisional figure",2019,2138,""
"Latvia",2019,"Total","October","Data tabulated by year of occurrence","Provisional figure",2019,2364,""
"Latvia",2019,"Total","November","Data tabulated by year of occurrence","Provisional figure",2020,2077,""
"Lebanon",2011,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2013,26070,""
"Lebanon",2011,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2013,2490,""
"Lebanon",2011,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2013,2185,""
"Lebanon",2011,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2013,2626,""
"Lebanon",2011,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2013,2148,""
"Lebanon",2011,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2013,2133,""
"Lebanon",2011,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2013,2104,""
"Lebanon",2011,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2013,1852,""
"Lebanon",2011,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2013,1811,""
"Lebanon",2011,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2013,2330,""
"Lebanon",2011,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2013,1998,""
"Lebanon",2011,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2013,2096,""
"Lebanon",2011,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2013,2297,""
"Liechtenstein",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,249,""
"Liechtenstein",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,27,""
"Liechtenstein",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,15,""
"Liechtenstein",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,26,""
"Liechtenstein",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,15,""
"Liechtenstein",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,19,""
"Liechtenstein",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,22,""
"Liechtenstein",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,16,""
"Liechtenstein",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,17,""
"Liechtenstein",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,15,""
"Liechtenstein",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,29,""
"Liechtenstein",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,19,""
"Liechtenstein",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,29,""
"Lithuania",2019,"Total","January","Data tabulated by year of occurrence","Provisional figure",2019,4064,""
"Lithuania",2019,"Total","February","Data tabulated by year of occurrence","Provisional figure",2019,3307,""
"Lithuania",2019,"Total","March","Data tabulated by year of occurrence","Provisional figure",2019,3177,""
"Lithuania",2019,"Total","April","Data tabulated by year of occurrence","Provisional figure",2019,3282,""
"Lithuania",2019,"Total","May","Data tabulated by year of occurrence","Provisional figure",2019,3232,""
"Lithuania",2019,"Total","June","Data tabulated by year of occurrence","Provisional figure",2019,2971,""
"Lithuania",2019,"Total","July","Data tabulated by year of occurrence","Provisional figure",2019,3210,""
"Lithuania",2019,"Total","August","Data tabulated by year of occurrence","Provisional figure",2019,2918,""
"Lithuania",2019,"Total","September","Data tabulated by year of occurrence","Provisional figure",2019,2871,""
"Lithuania",2019,"Total","October","Data tabulated by year of occurrence","Provisional figure",2019,3131,""
"Lithuania",2019,"Total","November","Data tabulated by year of occurrence","Provisional figure",2019,2906,""
"Lithuania",2019,"Total","December","Data tabulated by year of occurrence","Provisional figure",2020,3309,""
"Luxembourg",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,4263,""
"Luxembourg",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,468,""
"Luxembourg",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,350,""
"Luxembourg",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,376,""
"Luxembourg",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,355,""
"Luxembourg",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,316,""
"Luxembourg",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,306,""
"Luxembourg",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,345,""
"Luxembourg",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,297,""
"Luxembourg",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,349,""
"Luxembourg",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,366,""
"Luxembourg",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,349,""
"Luxembourg",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,386,""
"Malaysia",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,168168,""
"Malaysia",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,14333,""
"Malaysia",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,13412,""
"Malaysia",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,14458,""
"Malaysia",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,13718,""
"Malaysia",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,14633,""
"Malaysia",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,13995,""
"Malaysia",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,14613,""
"Malaysia",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,13576,""
"Malaysia",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,13295,""
"Malaysia",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,14229,""
"Malaysia",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,13303,""
"Malaysia",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,14603,""
"Maldives",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,1241,"29"
"Maldives",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,97,"29"
"Maldives",2017,"Total","February","Data tabulated by year of occurrence","Final figure, complete",2019,104,"29"
"Maldives",2017,"Total","March","Data tabulated by year of occurrence","Final figure, complete",2019,134,"29"
"Maldives",2017,"Total","April","Data tabulated by year of occurrence","Final figure, complete",2019,109,"29"
"Maldives",2017,"Total","May","Data tabulated by year of occurrence","Final figure, complete",2019,94,"29"
"Maldives",2017,"Total","June","Data tabulated by year of occurrence","Final figure, complete",2019,103,"29"
"Maldives",2017,"Total","July","Data tabulated by year of occurrence","Final figure, complete",2019,105,"29"
"Maldives",2017,"Total","August","Data tabulated by year of occurrence","Final figure, complete",2019,88,"29"
"Maldives",2017,"Total","September","Data tabulated by year of occurrence","Final figure, complete",2019,90,"29"
"Maldives",2017,"Total","October","Data tabulated by year of occurrence","Final figure, complete",2019,106,"29"
"Maldives",2017,"Total","November","Data tabulated by year of occurrence","Final figure, complete",2019,94,"29"
"Maldives",2017,"Total","December","Data tabulated by year of occurrence","Final figure, complete",2019,117,"29"
"Maldives",2017,"Total","Unknown","Data tabulated by year of occurrence","Final figure, complete",2019,0,"29"
"Malta",2017,"Total","Total","Data tabulated by year of occurrence","Final figure, complete",2019,3571,""
"Malta",2017,"Total","January","Data tabulated by year of occurrence","Final figure, complete",2019,468,""
